hospital_id,hospital_name,city,state,city_tier,hospital_type,beds,doctors,num_specializations,specializations,established_year,rating
97,St. Mary's Hospital Bhopal,Bhopal,Madhya Pradesh,Tier 2,Government,368,66,8,"Cardiology, Emergency Medicine, General Surgery, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Urology",1983,4.4
98,St. Mary's Hospital Bhopal #2,Bhopal,Madhya Pradesh,Tier 2,Government,132,20,8,"Dermatology, ENT, Emergency Medicine, Endocrinology, General Medicine, Oncology, Pediatrics, Urology",2012,4.9
99,Bhopal Wellness & Research Hospital,Bhopal,Madhya Pradesh,Tier 2,Government,179,34,10,"Cardiology, Dermatology, Endocrinology, General Medicine, General Surgery, Nephrology, Oncology, Pediatrics, Psychiatry, Pulmonology",2005,3.5
100,Bhopal City Care Hospital,Bhopal,Madhya Pradesh,Tier 2,Private,232,31,8,"Anesthesiology, Dermatology, ENT, Emergency Medicine, General Medicine, Gynecology & Obstetrics, Ophthalmology, Pulmonology",2013,3.9
101,Bhopal City Care Hospital #2,Bhopal,Madhya Pradesh,Tier 2,Private,386,55,8,"Cardiology, ENT, Endocrinology, Gastroenterology, General Surgery, Ophthalmology, Orthopedics, Pediatrics",2021,4.2
102,Bhopal Wellness & Research Hospital #2,Bhopal,Madhya Pradesh,Tier 2,Private,132,19,10,"Anesthesiology, Cardiology, ENT, Gastroenterology, General Medicine, Neurology, Orthopedics, Pediatrics, Psychiatry, Pulmonology",1988,3.5
103,Coimbatore District Hospital,Coimbatore,Tamil Nadu,Tier 2,Private,500,86,10,"Dermatology, Emergency Medicine, Endocrinology, Gastroenterology, Gynecology & Obstetrics, Nephrology, Oncology, Ophthalmology, Pediatrics, Pulmonology",2018,3.9
104,Coimbatore Apex Hospital,Coimbatore,Tamil Nadu,Tier 2,Private,350,50,7,"Dermatology, ENT, Emergency Medicine, Gastroenterology, General Medicine, Pediatrics, Radiology",2005,3.2
105,Coimbatore City Care Hospital,Coimbatore,Tamil Nadu,Tier 2,Government,437,67,14,"Cardiology, Emergency Medicine, Endocrinology, General Medicine, General Surgery, Gynecology & Obstetrics, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology",2019,3.7
106,Coimbatore Super Specialty Hospital,Coimbatore,Tamil Nadu,Tier 2,Private,299,62,10,"Anesthesiology, Cardiology, Dermatology, Emergency Medicine, Endocrinology, Gastroenterology, General Surgery, Ophthalmology, Orthopedics, Pediatrics",1974,2.9
107,St. Mary's Hospital Patna,Patna,Bihar,Tier 2,Private,182,23,6,"Emergency Medicine, Endocrinology, General Surgery, Gynecology & Obstetrics, Ophthalmology, Pulmonology",1972,4.4
108,Patna Super Specialty Hospital,Patna,Bihar,Tier 2,Government,140,13,11,"Anesthesiology, Cardiology, Emergency Medicine, Gastroenterology, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Radiology, Urology",1971,4.8
109,Patna Super Specialty Hospital #2,Patna,Bihar,Tier 2,Private,89,14,5,"ENT, Emergency Medicine, Endocrinology, Pulmonology, Urology",2016,4.8
110,Patna Apex Hospital,Patna,Bihar,Tier 2,Private,277,39,7,"Cardiology, Dermatology, General Medicine, Gynecology & Obstetrics, Ophthalmology, Pediatrics, Urology",1996,4.2
111,Patna Multispecialty Hospital,Patna,Bihar,Tier 2,Government,495,65,11,"Cardiology, Emergency Medicine, Endocrinology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Orthopedics, Pediatrics, Pulmonology, Radiology",1988,4.4
112,Surat Super Specialty Hospital,Surat,Gujarat,Tier 2,Private,91,23,4,"ENT, Neurology, Orthopedics, Urology",1970,3.7
113,Surat Apex Hospital,Surat,Gujarat,Tier 2,Trust/NGO,398,57,8,"Anesthesiology, Emergency Medicine, Gastroenterology, Oncology, Pediatrics, Psychiatry, Pulmonology, Radiology",1998,3.6
114,Surat Apex Hospital #2,Surat,Gujarat,Tier 2,Trust/NGO,303,35,10,"Cardiology, Dermatology, Endocrinology, General Medicine, General Surgery, Oncology, Orthopedics, Psychiatry, Pulmonology, Urology",1996,3.9
115,All India Institute Surat,Surat,Gujarat,Tier 2,Government,532,117,19,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Pulmonology, Radiology, Urology",2007,3.3
116,Surat Institute of Medical Sciences,Surat,Gujarat,Tier 2,Government,432,53,11,"ENT, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Psychiatry, Pulmonology, Urology",1983,4.9
117,Visakhapatnam City Care Hospital,Visakhapatnam,Andhra Pradesh,Tier 2,Private,466,78,20,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",1977,3.2
118,Visakhapatnam Institute of Medical Sciences,Visakhapatnam,Andhra Pradesh,Tier 2,Government,509,66,13,"Anesthesiology, Cardiology, ENT, Emergency Medicine, Gastroenterology, General Medicine, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Psychiatry, Urology",1974,3.9
119,Visakhapatnam General Hospital,Visakhapatnam,Andhra Pradesh,Tier 2,Government,376,77,10,"Anesthesiology, Dermatology, ENT, Gastroenterology, Nephrology, Ophthalmology, Orthopedics, Pediatrics, Pulmonology, Radiology",1977,2.9
120,Visakhapatnam Wellness & Research Hospital,Visakhapatnam,Andhra Pradesh,Tier 2,Private,259,44,10,"Emergency Medicine, General Medicine, General Surgery, Nephrology, Neurology, Oncology, Ophthalmology, Pediatrics, Psychiatry, Pulmonology",1984,3.2
121,Visakhapatnam Apex Hospital,Visakhapatnam,Andhra Pradesh,Tier 2,Private,310,55,12,"Anesthesiology, Dermatology, Emergency Medicine, Endocrinology, General Surgery, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Urology",1981,4.2
122,St. Mary's Hospital Ranchi,Ranchi,Jharkhand,Tier 3,Government,137,39,11,"Anesthesiology, Cardiology, Endocrinology, Gastroenterology, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Orthopedics, Pediatrics",2019,3.2
123,Ranchi Institute of Medical Sciences,Ranchi,Jharkhand,Tier 3,Private,285,34,9,"Anesthesiology, Dermatology, ENT, Emergency Medicine, Gastroenterology, General Medicine, Gynecology & Obstetrics, Ophthalmology, Radiology",1979,3.3
124,Ranchi Apex Hospital,Ranchi,Jharkhand,Tier 3,Private,278,71,12,"Anesthesiology, Cardiology, ENT, Emergency Medicine, General Surgery, Nephrology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Urology",1995,4.8
125,Raipur District Hospital,Raipur,Chhattisgarh,Tier 3,Government,140,31,10,"Anesthesiology, Dermatology, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Ophthalmology, Psychiatry, Pulmonology",2007,3.8
126,All India Institute Raipur,Raipur,Chhattisgarh,Tier 3,Private,220,55,7,"Emergency Medicine, Endocrinology, General Surgery, Neurology, Oncology, Ophthalmology, Radiology",1963,4.4
127,Raipur District Hospital #2,Raipur,Chhattisgarh,Tier 3,Government,158,35,6,"ENT, Endocrinology, Nephrology, Neurology, Psychiatry, Urology",2000,4.2
128,Raipur Wellness & Research Hospital,Raipur,Chhattisgarh,Tier 3,Trust/NGO,289,78,6,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology",2012,4.3
129,All India Institute Guwahati,Guwahati,Assam,Tier 3,Government,89,15,4,"Anesthesiology, Dermatology, Endocrinology, Psychiatry",1977,4.5
130,Guwahati Institute of Medical Sciences,Guwahati,Assam,Tier 3,Private,247,41,11,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Gastroenterology, General Surgery, Nephrology, Neurology, Oncology, Urology",2000,2.8
131,All India Institute Guwahati #2,Guwahati,Assam,Tier 3,Government,262,41,10,"ENT, Endocrinology, Gastroenterology, General Surgery, Nephrology, Neurology, Orthopedics, Psychiatry, Radiology, Urology",1977,2.9
132,Dehradun Super Specialty Hospital,Dehradun,Uttarakhand,Tier 3,Private,328,44,12,"Cardiology, ENT, Emergency Medicine, Endocrinology, General Medicine, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Urology",2003,4.7
133,St. Mary's Hospital Dehradun,Dehradun,Uttarakhand,Tier 3,Private,111,10,10,"Anesthesiology, ENT, Endocrinology, Gastroenterology, General Surgery, Gynecology & Obstetrics, Neurology, Orthopedics, Psychiatry, Radiology",2021,4.1
134,Thiruvananthapuram General Hospital,Thiruvananthapuram,Kerala,Tier 3,Private,270,47,10,"Anesthesiology, ENT, Endocrinology, General Medicine, General Surgery, Gynecology & Obstetrics, Neurology, Oncology, Orthopedics, Pediatrics",1965,3.4
135,Thiruvananthapuram District Hospital,Thiruvananthapuram,Kerala,Tier 3,Private,118,20,8,"Cardiology, ENT, General Medicine, Gynecology & Obstetrics, Oncology, Orthopedics, Pediatrics, Urology",1966,3.1
136,All India Institute Thiruvananthapuram,Thiruvananthapuram,Kerala,Tier 3,Private,325,55,6,"Cardiology, General Surgery, Oncology, Ophthalmology, Psychiatry, Radiology",1984,2.8
137,Amritsar District Hospital,Amritsar,Punjab,Tier 3,Private,326,40,10,"Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Oncology, Pediatrics, Pulmonology, Radiology, Urology",1964,3.2
138,Amritsar Super Specialty Hospital,Amritsar,Punjab,Tier 3,Private,287,42,8,"Cardiology, Gastroenterology, Nephrology, Oncology, Orthopedics, Pediatrics, Pulmonology, Urology",2020,3.6
139,Amritsar Wellness & Research Hospital,Amritsar,Punjab,Tier 3,Private,208,41,12,"Anesthesiology, ENT, Gastroenterology, General Surgery, Gynecology & Obstetrics, Nephrology, Oncology, Ophthalmology, Pediatrics, Pulmonology, Radiology, Urology",2021,4.0
